"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX824301","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5590.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803918","","99.19","1","924138","186675876","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824301","G5590.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824300","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4718.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803917","","177.94","1","1544802","312050004","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824300","G4718.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824299","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4868.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803916","","383.14","1","5504281","1111864762","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824299","G4868.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824298","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4969.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803914","","2.23","1","29524","5963848","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824298","G4969.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824297","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G6103.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803915","","137.93","1","1185294","239429388","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824297","G6103.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824296","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4979.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803913","","142.02","1","1902655","384336310","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824296","G4979.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824295","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4789.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803912","","118.59","1","1205217","243453834","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824295","G4789.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824294","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G6001.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803911","","104.23","1","1316377","265908154","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824294","G6001.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824293","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLBO0369.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803910","","176.95","1","1570771","317295742","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824293","SLBO0369.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824292","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4697.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803909","","251.86","1","3431134","693089068","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824292","G4697.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824291","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5932.3","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803908","","170.09","1","2258725","456262450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824291","G5932.3.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824290","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5570.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803907","","85.77","1","746926","150879052","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824290","G5570.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824289","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5568.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803904","","140.13","1","1194470","241282940","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824289","G5568.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824288","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4909.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803906","","177.63","1","2330422","470745244","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824288","G4909.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824287","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample MSF376.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803905","","79.88","1","682658","137896916","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824287","MSF376.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824286","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4518.3","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803903","","169.74","1","2282089","460981978","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824286","G4518.3.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824285","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5103.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803901","","144.74","1","1244608","251410816","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824285","G5103.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824284","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3915.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803902","","302.35","1","3203921","647192042","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824284","G3915.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824283","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3939.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803900","","95.41","1","837787","169232974","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824283","G3939.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824282","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5013.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803898","","239.19","1","2165811","437493822","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824282","G5013.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824281","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3907.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803899","","77.65","1","667692","134873784","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824281","G3907.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824280","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5631.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803897","","189.74","1","1685104","340391008","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824280","G5631.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824279","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLBOO0386.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803896","","197.92","1","1832803","370226206","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824279","SLBOO0386.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824278","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4715.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803895","","191.14","1","2560135","517147270","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824278","G4715.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824277","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3890.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803894","","97.51","1","883021","178370242","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824277","G3890.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824276","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5117.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803893","","212.62","1","1895612","382913624","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824276","G5117.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824275","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5265.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803892","","144.91","1","1285502","259671404","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824275","G5265.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824274","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4751.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803891","","322.15","1","4505877","910187154","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824274","G4751.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824273","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4726.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803888","","96.94","1","1220937","246629274","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824273","G4726.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824272","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLBO0367.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803889","","122.16","1","1050470","212194940","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824272","SLBO0367.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824271","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5997.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803890","","133.79","1","1176154","237583108","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824271","G5997.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824270","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5644.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803886","","135.29","1","1248344","252165488","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824270","G5644.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824269","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3900.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803885","","141.33","1","1266908","255915416","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824269","G3900.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824268","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLKEN0017.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803884","","118.94","1","1104260","223060520","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824268","SLKEN0017.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824267","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLBOO0387.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803883","","88.39","1","785057","158581514","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824267","SLBOO0387.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824266","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLBO0366.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803882","","209.8","1","1911315","386085630","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824266","SLBO0366.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824265","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5431.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803881","","86.02","1","752127","151929654","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824265","G5431.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824264","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5748.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803880","","91.24","1","813685","164364370","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824264","G5748.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824263","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3901.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803879","","118.29","1","1081408","218444416","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824263","G3901.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824262","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4690.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803887","","207.73","1","2883580","582483160","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824262","G4690.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824261","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5020.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803878","","197.86","1","2624130","530074260","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824261","G5020.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824260","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLKEN0008.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803877","","98.44","1","919838","185807276","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824260","SLKEN0008.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824259","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4850.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803876","","190.68","1","2527779","510611358","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824259","G4850.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824258","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5687.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803874","","116.85","1","1030424","208145648","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824258","G5687.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824257","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4495.3","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803875","","261.88","1","3553064","717718928","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824257","G4495.3.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824256","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3797.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803873","","111.37","1","1000226","202045652","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824256","G3797.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824255","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5236.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803872","","195.95","1","1690735","341528470","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824255","G5236.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824254","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5510.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803870","","143.98","1","1523074","307660948","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824254","G5510.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824253","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4942.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803871","","260.32","1","2281404","460843608","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824253","G4942.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824252","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5908.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803869","","76.08","1","645003","130290606","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824252","G5908.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824251","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5462.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803868","","40.38","1","332750","67215500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824251","G5462.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824250","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5019.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803867","","97.13","1","1230626","248586452","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824250","G5019.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824249","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5502.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803866","","145.38","1","1303868","263381336","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824249","G5502.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824248","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4730.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803864","","121.83","1","1565804","316292408","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824248","G4730.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824247","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5732.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803865","","93.06","1","795387","160668174","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824247","G5732.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824246","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5619.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803863","","45.77","1","394184","79625168","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824246","G5619.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824245","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5638.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803860","","129.49","1","1134753","229220106","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824245","G5638.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824244","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3873.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803861","","96.43","1","830553","167771706","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824244","G3873.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824243","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5064.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803862","","134.45","1","1180358","238432316","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824243","G5064.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824242","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G6062.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803858","","173.82","1","2234082","451284564","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824242","G6062.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824241","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5012.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803857","","246.75","1","2613806","527988812","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824241","G5012.2.l1-G5012.2.l2","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824240","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4946.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803859","","123.45","1","1572421","317629042","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824240","G4946.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
